Hong Kong International Airport   ,,,,,,,,,,,,,,,,,,,,
Civil International Air Transport,,,,,,,,,,,,,,,,,,,,
"Movements of Aircraft, Passenger and Freight",,,,,,,,,,,,,,,,,,,,
(1998 - 2020),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,,,,,,,
Year,Month,,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change",,,,,,
2006,Jan,, 11 559  , 11 552  , 23 111  ,+13.6     ,1 613 628  ,1 782 586  ,3 396 214  ,+15.6     , 98 036 , 171 240 , 269 275 ,+9.0     ,,,,,,
,Feb,, 10 327  , 10 336  , 20 663  ,+8.0     ,1 692 003  ,1 490 459  ,3 182 462  ,+5.1     , 93 641 , 130 543 , 224 184 ,+9.6     ,,,,,,
,Mar,, 11 798  , 11 783  , 23 581  ,+10.6     ,1 736 965  ,1 706 518  ,3 443 483  ,+6.0     , 113 324 , 207 062 , 320 386 ,+10.1     ,,,,,,
,Apr,, 11 766  , 11 770  , 23 536  ,+10.4     ,1 858 407  ,1 860 444  ,3 718 851  ,+13.9     , 106 566 , 188 412 , 294 978 ,+3.4     ,,,,,,
,May,, 11 627  , 11 628  , 23 255  ,+7.4     ,1 731 123  ,1 726 936  ,3 458 059  ,+6.5     , 105 954 , 177 630 , 283 584 ,+4.7     ,,,,,,
,Jun,, 11 442  , 11 445  , 22 887  ,+7.3     ,1 782 229  ,1 752 060  ,3 534 289  ,+9.8     , 107 976 , 181 798 , 289 774 ,+3.5     ,,,,,,
,Jul,, 11 967  , 11 968  , 23 935  ,+5.3     ,1 985 718  ,2 022 168  ,4 007 886  ,+8.5     , 109 369 , 183 936 , 293 305 ,+1.1     ,,,,,,
,Aug,, 11 865  , 11 867  , 23 732  ,+3.3     ,2 029 039  ,1 958 882  ,3 987 921  ,+9.0     , 104 689 , 188 487 , 293 176 ,+3.8     ,,,,,,
,Sep,, 11 658  , 11 641  , 23 299  ,+2.9     ,1 685 220  ,1 750 234  ,3 435 454  ,+6.4     , 114 225 , 206 903 , 321 129 ,+5.8     ,,,,,,
,Oct,, 12 201  , 12 204  , 24 405  ,+3.2     ,1 917 065  ,1 851 078  ,3 768 143  ,+7.9     , 113 091 , 215 110 , 328 201 ,+3.2     ,,,,,,
,Nov,, 11 879  , 11 872  , 23 751  ,+3.7     ,1 790 379  ,1 765 254  ,3 555 633  ,+8.2     , 115 482 , 227 231 , 342 714 ,+7.4     ,,,,,,
,Dec,, 12 114  , 12 111  , 24 225  ,+3.2     ,1 904 972  ,1 880 303  ,3 785 275  ,+8.5     , 118 115 , 201 528 , 319 643 ,+3.1     ,,,,,,
2007,Jan,, 11 773  , 11 776  , 23 549  ,+1.9     ,1 686 567  ,1 693 698  ,3 380 265  ,-0.5     , 101 067 , 169 711 , 270 778 ,+0.6     ,,,,,,
,Feb,, 11 138  , 11 128  , 22 266  ,+7.8     ,1 744 611  ,1 781 873  ,3 526 484  ,+10.8     , 90 390 , 144 550 , 234 940 ,+4.8     ,,,,,,
