Hong Kong International Airport   ,,,,,,,,,,,,,
,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,
Year,Month,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change"
,May,12371,12370,24741,6.4,1849159,1841896,3691055,6.7,107984,186240,294224,3.8
,Jun,12085,12076,24161,5.6,1866715,1893134,3759849,6.4,113950,190823,304773,5.2
,Jul,12682,12682,25364,6,2111548,2139297,4250845,6.1,115394,199425,314819,7.3
,Aug,12776,12778,25554,7.7,2171869,2119135,4291004,7.6,116614,206857,323471,10.3
,Sep,12328,12328,24656,5.8,1815579,1886211,3701790,7.8,121428,221153,342581,6.7
,Oct,12891,12878,25769,5.6,2045663,1967421,4013084,6.5,120801,231793,352595,7.4
,Nov,12567,12566,25133,5.8,1973422,1946694,3920116,10.3,121881,242186,364067,6.2
,Dec,12796,12808,25604,5.7,2072110,2056550,4128660,9.1,123393,214833,338227,5.8
2008,Jan,12377,12375,24752,5.1,1895369,1954482,3849851,13.9,112202,183227,295429,9.1
,Feb,11869,11852,23721,6.5,1914806,1866881,3781687,7.2,99485,147009,246494,4.9
,Mar,12855,12868,25723,6.7,2048338,2070194,4118532,11.1,120054,214142,334196,10.2
